id,gold_answer,model_extracted,question
268,"['16', '8.00']","['16', '8']","Fabrienne saved ${\$216.00}$, and will start spending her money on Lego figures. Each week, Fabrienne will spend ${\$13.00}$ to buy a Lego figure. For how many weeks can Fabrienne spend her money this way? How much left-over money will she have? Solution: Fabrienne can spend her money this way for [ANS] weeks. There will be [ANS] of left-over money."
269,['5.93295878967653'],['\\dfrac{4\\sqrt{55}}{5}'],"Suppose $p$ varies inversely as the square root of $q$. If $p=4$ when $q=11$, what is $p$ if $q$ is 5? $p$=[ANS]"
272,"['(0.72, -0.45)']","['-0.45, 0.72']","Use a graphing calculator to approximate to two decimal places, the real solutions to the equation.
x^4-0.27x^3+6.676x^2-1.89x-2.268=0. $x$=[ANS]
Note: If there is more than one solution write them separated by commas."
274,"['7500', '6850', '20', '5000', '(d)', '(b)', 'None of the above', '(c)', '(a)', 'None of the above']","['7500, 6850, 20, 5000, d, b, None, c, a, None']","The table below gives the total cost, $C=f(n)$, for a carpenter to build $n$ wooden chairs.
$\begin{array}{ccccccc}\hline n & 0 & 20 & 40 & 60 & 80 & 100 \\ \hline C(n) & 5000 & 6000 & 6850 & 7500 & 7950 & 8250 \\ \hline \end{array}$
Evaluate each of the expressions below:
(a) $f(60)=$ [ANS]
(b) $f(x)=$ [ANS] if $x=40$ (c) $z=$ [ANS] if $f(z)=6000$ (d) $f(0)=$ [ANS]
For each of the statements below decide which (if any) expression
(a)-(d) above it correctly describes by selecting the appropriate letter in each pull-down menu. An expression may be described correctly by more than one statement, and some statements may not match any of the expressions. (e) The fixed costs of the carpenter. <OPTIONS Choose letter of expression:Choose letter of expression,
(a):(a), (b):(b), (c):(c), (d):(d), None of the above:None of the above>. (f) The cost of building 40 chairs. <OPTIONS Choose letter of expression:Choose letter of expression,
(a):(a), (b):(b), (c):(c), (d):(d), None of the above:None of the above>. (g) The total number of chairs that can be built at a cost of \$40. <OPTIONS Choose letter of expression:Choose letter of expression,
(a):(a), (b):(b), (c):(c), (d):(d), None of the above:None of the above>. (h) The total number of chairs that can be built at a cost of \$6000. <OPTIONS Choose letter of expression:Choose letter of expression,
(a):(a), (b):(b), (c):(c), (d):(d), None of the above:None of the above>. (i) The cost of building 60 chairs. <OPTIONS Choose letter of expression:Choose letter of expression,
(a):(a), (b):(b), (c):(c), (d):(d), None of the above:None of the above>. (j) The total number of chairs the carpenter must build in order to break even. <OPTIONS Choose letter of expression:Choose letter of expression,
(a):(a), (b):(b), (c):(c), (d):(d), None of the above:None of the above>."
277,"['1.89716694364141', '(1.78661,infinity)', '0.0289031', 'D']","['1.896', '(1.80, \\infty)', '0.029', 'D. Reject H_0']","A marketing research firm suspects that a particular product has higher name recognition among college graduates than among high school graduates. A sample from each population is selected, and each asked if they have heard of the product in question. A summary of the sample sizes and number of each group answering ``yes'' are given below:
\begin{array}{lll} \mbox{College Grads (Pop. 1)}: & n_1=95, & x_1=64 \\ \mbox{High School Grads (Pop. 2)}: & n_2=92, & x_2=45 \\ \end{array} The company making the product is willing to increase marketing targeted at high school graduates if the difference between the two groups is at least 5\%. Is there evidence, at an $\alpha=0.037$ level of significance, to support such an increase in marketing? Carry out an appropriate hypothesis test, filling in the information requested. A. The value of the standardized test statistic: [ANS]
Note: For the next part, your answer should use interval notation. An answer of the form $(-\infty, a)$ is expressed (-infty, a), an answer of the form $(b, \infty)$ is expressed (b, infty), and an answer of the form $(-\infty, a) \cup (b, \infty)$ is expressed (-infty, a)U(b, infty). B. The rejection region for the standardized test statistic: [ANS]
C. The p-value is [ANS]
D. Your decision for the hypothesis test: [ANS] A. Do Not Reject $H_0$.  B. Reject $H_1$.  C. Do Not Reject $H_1$.  D. Reject $H_0$."
278,"['19.7745967126229', '26.2254032873771']","['19.69, 26.31']","Studies have suggusted that twins, in their early years, tend to have lower IQs and pick up language more slowly than nontwins. The slower intellectual growth might be caused by benign parental neglect. Suppose it is desired to estimate the mean attention time given to twins per week by their parents. A sample of $70$ sets of 2 year old boys is taken, and after 1 week the attention time received was recorded. The data (in hours) calculated the mean at $23$ and the standard deviation at $11.6$. Use this information to contruct a $98$ \% confidence interval for the mean attention time given to al twin boys by their parents. [ANS] $< \mu <$ [ANS]"
285,"['9', '16', '27', '26']","['9', '16', '27', '26']",1) Sadee has 196 quarters. She wants to put them in paper rolls. Each roll holds 20 quarters. a) The number of rolls that will be completely filled is [ANS]. b) The number of quarters in the unfilled roll is [ANS]. 2) Bukka has 1376 paperback books. He wants to put his paperback books on storage shelves. Each shelf can hold 50 paperback books. a) The number of shelves that will be completely filled is [ANS]. b) The number of paperback books that will be on the shelf that is not completely filled is [ANS].
286,['68.4884949023425'],['68.49'],"Mutt and Jeff need to paint a fence. Mutt can do the job alone 7 hours faster than Jeff. If together they work for 27 hours and finish only $\frac{5}{6}$ of the job, how long would Jeff need to do the job alone?
Your answer must be a number. No arithmetic operations are allowed.
It would take Jeff [ANS] hours to do the job alone."
289,['2789'],['2790'],"The operations manager of a large production plant would like to estimate the average amount of time workers take to assemble a new electronic component. After observing a number of workers assembling similar devices, she guesses that the standard deviation is 9 minutes. How large a sample of workers should she take if she wishes to estimate the mean assembly time to within 21 seconds. Assume the confidence level to be 96\%. Sample Size=[ANS]"
292,"['200000', '219']","['200000', '219']","Find the point of equilibrium for the following supply and demand equations where $x$ is number of units and $p$ is the price per unit. Demand: $p=231-0.000060x$ Supply: $p=145+0.000370x$ Number of units for equilibrium=[ANS]
Price per unit at equilibrium=[ANS]"
293,"['1', '-1.42857142857143', '1']","['1', '-\\frac{10}{7}', '1']","If $\cos(\theta)=-\frac {7} {10}$ and $\theta$ is in quadrant III, then find
(a) $\tan(\theta) \cot(\theta)=$ [ANS]
(b) $\csc(\theta) \tan(\theta)=$ [ANS]
(c) $\sin ^2 (\theta)+\cos ^2 (\theta)=$ [ANS]"
297,['(p**2 - 2 * 16 * p + 2 * 16**2)/(2 * (p - 16))'],['\\dfrac{p^2}{2(p + 16)}'],The altitude of a right triangle is 16 cm. Let $h$ be the length of the hypotenuse and let $p$ be the perimeter of the triangle. Express $h$ as a function of $p$. $h(p)=$ [ANS]
304,"['54', '46', '48', '1.24743', '2', '9.21034', 'B']","['54', '45.73', '47.73', '0.7817', '2', '9.210', 'B']","A certain health maintenance organization (HMO) wishes to study why patients leave the HMO. A SRS of 444 patients was taken. Data was collected on whether a patient had filed a complaint and, if so, whether the complaint was medical or nonmedical in nature. After a year, a tally from these patients was collected to count number who left the HMO voluntarily. Here are the data on the total number in each group and the number who voluntarily left the HMO:
$\begin{array}{cccc}\hline & No complaint & Medical complaint & Nonmedical complaint \\ \hline Total & 162 & 138 & 144 \\ \hline Left & 59 & 42 & 47 \\ \hline \end{array}$
If the null hypothesis is $H_0: p_1=p_2=p_3$ and using $\alpha=0.01$, then do the following:
(a) Find the expected number of people with no complaint who leave the HMO: [ANS]
(b) Find the expected number of people with a medical complaint who leave the HMO: [ANS]
(c) Find the expected number of people with a nonmedical complaint who leave the HMO: [ANS]
(d) Find the test statistic: [ANS]
(e) Find the degrees of freedom: [ANS]
(f) Find the critical value: [ANS]
(g) The final conclusion is [ANS] A. We can reject the null hypothesis that the proportions are equal.  B. There is not sufficient evidence to reject the null hypothesis."
312,"['0.637504694263561', '0.729768033009166']",['0.6374 \\leq p \\leq 0.7298'],A poll is taken in which $376$ out of $550$ randomly selected voters indicated their preference for a certain candidate. Find a $98$ \% confidence interval for $p$. [ANS] $\leq p \leq$ [ANS]
317,['(32/8) - ( 49/8)*x'],['-\\dfrac{49}{8}x + 4'],"A curve with polar equation r=\frac{32}{8 \sin \theta+49 \cos \theta} represents a line. This line has a Cartesian equation of the form $y=mx+b$,where $m$ and $b$ are constants. Give the formula for $y$ in terms of $x$. For example, if the line had equation $y=2x+3$ then the answer would be $2*x+3$. [ANS]
Hint: multiply both sides by the denominator on the right hand side and use $r \cos \theta=x$ and $r \sin \theta=y$."
320,['646.79696969697'],['647'],You are on a pleasure cruise through the universe and you crash in the ocean of an unknown planet. Your spaceship floats on the water and its top is 32 feet above the surface of the water. You swim away from the spaceship until you see its top on the horizon. Your laser range meter tells you that your eyes are 2.8 miles away from the top of the space ship. (You are a capable--if reckless and curious--swimmer.) The radius of the planet is [ANS] miles.
322,['log10(6)+log10(x+y)+log10(x-y)'],['\\log(6) + \\log(x - y) + \\log(x + y)'],"Using laws of logarithms, write the expression below using sums and/or differences of logarithmic expressions which do not contain the logarithms of products, quotients, or powers. $ \log \left(6 (x^{2}-y^{2}) \right)=$ [ANS]"
323,"['0', '-6.000']","['0', '-6']","Consider $n$ numbers $x_1,\ldots,x_n$. Let ${\overline x}=n^{-1}\sum_{j=1}^n x_j$ be the sample mean. For notation, also let $A_k=\sum_{i=1}^n x_i^k$ for $k=1,2,3,\ldots$. Hence, ${\overline x}=A_1/n$ and $\sum_{i=1}^n (x_i-{\overline x})^2=\sum_{i=1}^n x_i^2-n {\overline x}^2=A_2-A_1^2/n$. Check that you can derive these equations before trying the questions below. Part a) What is the summation of deviations: $\sum_{i=1}^n (x_i-{\overline x})\,\,$? [ANS]
Part b) Consider $\sum_{i=1}^n (x_i-{\overline x})^3$? Simplify this to an expression involving $A_1,A_2,A_3,n$. Now, suppose $n=5$, $A_1={20}$, $A_2={86}$, $A_3={386}$. Applying your formula, what is the numerical value of $\sum_{i=1}^n (x_i-{\overline x})^3$? [ANS]"
326,"['millimeters', 'meters', 'kilometers', 'meters', 'kilometers', 'centimeters']","['\\text{mm}, \\text{m}, \\text{km}, \\text{ft}, \\text{ly}, \\text{cm}']","For each of the following, select the most appropriate unit of measurement:
The thickness of an eyeglass lens uses [ANS] The height of an old oak tree uses [ANS] The distance you drive on a summer vacation uses [ANS] How far LeBron James shoots a free throw uses [ANS] How far it is to the sun uses [ANS] The length of fruit rollups uses [ANS]"
328,['-ln((20-14)/13)/0.02'],['39'],"For a pole-vaulter in training, the height the athelete will be able to pole-vault after $t$ months of training is given by H(t)=20-13 e^{-0.02 t} After how many months will she be able to vault 14 ft? [ANS] months"
335,"['8*(s-3)', 'r-3']",['8(s - 3)(r - 3)'],"Rewrite the expression $8 r (s-3)-24 (s-3)$ by taking out the greatest common factor.
$\big($ [ANS] $\big) \big($ [ANS] $\big)$"
337,"['F', 'F', 'C']","['F', 'F', 'C']","For each statement, select the correct null hypothesis, $H_0$, and alternative hypothesis, $H_a$, in symbolic form.
(a) According to the Merck Veterinary Manual, the average resting heart rate for a certain type of sheep dog is 115 beats per minute (bpm). A Montana farmer notices his aging sheep dog has been acting more lethargic than usual and wonders if her heart rate is slowing. He measures her heart rate on 15 occasions and finds a sample mean heart rate of 118.2 bpm. [ANS] A. $H_0: \mu=115$, $\ \ H_a: \mu \neq 115$  B. $H_0: {\bar x}=118.2$, $\ \ H_a: {\bar x} \neq 118.2$  C. $H_0: \mu=115$, $\ \ H_a: \mu > 115$  D. $H_0: {\bar x}=115$, $\ \ H_a: {\bar x} > 115$  E. $H_0: \mu=118.2$, $\ \ H_a: \mu < 118.2$  F. $H_0: \mu=115$, $\ \ H_a: \mu < 115$
(b) The mean height of all adult American males is 69 inches (5 ft 9 in). A researcher wonders if young American males between the ages of 18 and 21 tend to be taller than 69 inches. A random sample of 100 young American males ages 18 to 21 yielded a sample mean of 71 inches. [ANS] A. $H_0: \mu > 69$, $\ \ H_a: \mu < 69$  B. $H_0: {\bar x}=69$, $\ \ H_a: {\bar x} > 69$  C. $H_0: \mu=71$, $\ \ H_a: \mu < 71$  D. $H_0: {\bar x}=71$, $\ \ H_a: {\bar x} < 71$  E. $H_0: \mu=69$, $\ \ H_a: \mu \neq 69$  F. $H_0: \mu=69$, $\ \ H_a: \mu > 69$
(c) A certain type of hummingbird is known to have an average weight of 4.55 grams. A researcher wonders if hummingbirds (of this same type) living in the Grand Canyon differ in weight from the population as a whole. The researcher finds a sample of 30 such hummingbirds from the Grand Canyon and calculates their average weight to be 3.75 grams. [ANS] A. $H_0: {\bar x}=4.55$, $\ \ H_a: {\bar x} < 4.55$  B. $H_0: \mu=4.55$, $\ \ H_a: \mu < 4.55$  C. $H_0: \mu=4.55$, $\ \ H_a: \mu \neq 4.55$  D. $H_0: \mu < 4.55$, $\ \ H_a: \mu=4.55$  E. $H_0: \mu=3.75$, $\ \ H_a: \mu \neq 3.75$  F. $H_0: {\bar x}=3.75$, $\ \ H_a: {\bar x} > 3.75$"
338,"['100*0.967532^t', '100*0.964961^t', 'A']","['100 \\times \\left(\\frac{1}{2}\\right)^{t/21}, 100 \\times (0.7)^{t/10}, A']","The half life of substance A is $21$ years, and substance B decays at a rate of $30$ \% each decade.
(a) Find a formula for a function $f(t)$ that gives the amount of substance A, in milligrams, left after $t$ years, given that the initial quantity was $100$ milligrams. $f(t)=$ [ANS]
(a) Find a formula for a function $g(t)$ that gives the amount of substance B, in milligrams, left after $t$ years, given that the initial quantity was $100$ milligrams. $g(t)=$ [ANS]
(c) Of which substance is there less in the long term? [ANS] A. There is less of substance B in the long term.  B. There is less of substance A in the long term.  C. There is no way to tell."
339,"['-sqrt(3)', '1/sqrt(3)', '1', '-2', '2/sqrt(3)']","['-\\sqrt{3}, \\frac{\\sqrt{3}}{3}, 1, -2, \\frac{2\\sqrt{3}}{3}']","Find the exact value of each:
a) $\tan{\left(\frac{5 \pi}{3} \right)}$=[ANS]
b) $\tan{\left(\frac{7 \pi}{6} \right)}$=[ANS]
c) $\cot{\left(\frac{5 \pi}{4} \right)}$=[ANS]
d) $\sec{\left(\frac{4 \pi}{3} \right)}$=[ANS]
e) $\csc{\left(\frac{\pi}{3} \right)}$=[ANS]"
343,"['-10', '3.16227766016838', 'NO', 'no', 'no']","['-10', '\\sqrt{10}', '\\text{no}', '\\text{no}', '\\text{no}']","For the graph of the equation $y=\sqrt{x+10}$, answer the following questions: The $x$-intercepts have $x=$ [ANS]
Note: If there is more than one answer enter them separated by commas. If there are none, enter none. The $y$-intercepts have $y=$ [ANS]
Note: If there is more than one answer enter them separated by commas. If there are none, enter none. Is the graph symmetric with respect to the $x$-axis? Input yes or no here: [ANS]
Is the graph symmetric with respect to the $y$-axis? Input yes or no here: [ANS]
Is the graph symmetric with respect to the origin? Input yes or no here: [ANS]"
351,"['0.359293', '0.721669', 'INCREASES']","['0.36', '0.72', 'INCREASES']","A study of the career paths of hotel general managers sent questionnaires to an SRS of 280 hotels belonging to major U.S. hotel chains. There were 165 responses. The average time these 165 general managers had spent with their current company was 11.73 years. (Take it as known that the standard deviation of time with the company for all general managers is 3.6 years.)
(a) Find the margin of error for an 80\% confidence interval to estimate the mean time a general manager had spent with their current company: [ANS] years (b) Find the margin of error for a 99\% confidence interval to estimate the mean time a general manager had spent with their current company: [ANS] years (c) In general, increasing the confidence level [ANS] the margin of error (width) of the confidence interval. (Enter: ''DECREASES'', ''DOES NOT CHANGE'' or ''INCREASES'', without the quotes.)"
352,"['0.6 * x=72', '120']","['0.6 \\cdot x = 72', '120']","60\% of what number is 72? a) Write an equation to model the problem. Use x to represent the number. Answer: [ANS]
b) Solve the equation to find the number: Answer: [ANS]"
354,"['11 + 4*cos( (4/(2*11) +1)*pi)', '(11 + 4*cos( (4/(2*11) +1)*pi) )*cos( (4/(2*11) +1)*pi )', '(11 + 4*cos( (4/(2*11) +1)*pi) )*sin( (4/(2*11) +1)*pi )', '0']","['7.63', '-6.43', '-4.13', '0']","A curve in polar coordinates is given by: $r=11+4 \cos \theta.$ Point $P$ is at $\theta=\frac{26 \pi}{22}.$
a.) Find polar coordinate $r$ for $P$, with $r > 0$ and $\pi < \theta < \frac{3 \pi}{2}.$ $r=$ [ANS]
b.) Find cartesian coordinates for point $P.$ $x=$ [ANS]
$y=$ [ANS]
c.) How may times does the curve pass through the origin when $0 < \theta < 2 \pi?$ Answer: [ANS]"
358,"['C', 'D', 'B']","['A', 'D', 'B']","Select the best response.
(a) Here are the amounts of money (cents) in coins carried by 10 students in a statistics class: \begin{array}{ccccccccccc} \mbox{50} & \mbox{35} & \mbox{0} & \mbox{97} & \mbox{76} & \mbox{0} & \mbox{0} & \mbox{87} & \mbox{23} & \mbox{65} \end{array} To make a stemplot of these data, you would use stems [ANS] A. 0, 2, 3, 5, 6, 7, 8, 9.  B. 00, 10, 20, 30, 40, 50, 60, 70, 80, 90.  C. 0, 1, 2, 3, 4, 5, 6, 7, 8, 9.  D. None of the above.
(b) A study of recent college graduates records the sex and total college debt in dollars for 10,000 people a year after they graduate from college. Which of the following is a true statement? [ANS] A. Sex is a quantitative variable and college debt is a categorical variable.  B. Sex and college debt are both categorical variables.  C. Sex and college debt are both quantitative variables.  D. Sex is a categorical variable and college debt is a quantitative variable.  E. All of the above.
(c) A political party's data bank includes the zip codes of past donors, such as
\begin{array}{cccccccc} \mbox{47906} & \mbox{34236} & \mbox{53075} & \mbox{10010} & \mbox{90210} & \mbox{75204} & \mbox{30304} & \mbox{99709} \end{array} Zip code is a [ANS] A. Unit of Measurement.  B. Categorical variable.  C. Quantitative variable.  D. None of the above."
359,"['43.12', '82.34']","['43.12', '82.34']","Consider the following data set: \begin{array}{ccccccccc} 53 & 65 & 43 & 46 & 54 & 69 & 82 & 66 & 53\\ 69 & 85 & 83 & 41 & 41 & 53 & 71 & 50 & 78 \end{array} Find the 16th and 86th percentiles for this data. 16th percentile=[ANS]
86th percentile=[ANS]"
360,"['-1/5', 'MINIMUM']",['-\\frac{1}{5}'],"Complete the square and find the minimum or maximum value of the quadratic function $y=5x^{2}+2x$.
[ANS] 1. value is [ANS]"
362,"['A', 'E', 'A', 'A', 'A']","['A', 'F', 'B', 'A', 'A']","Air Canada is preparing to launch a new airline specializing in servicing international flights, and is conducting a survey to collect data on the reasons for travel and the types of flights taken by its current customers. The survey was randomly given to individuals who had booked a flight for travel within the next month.
$\begin{array}{cccc}\hline & International & Domestic & Total \\ \hline Leisure Purposes & 250 & 450 & 700 \\ \hline Business Purposes & 550 & 300 & 850 \\ \hline Total & 800 & 750 & 1550 \\ \hline \end{array}$
Part i A traveller is selected at random. What is the probability that he is on an international flight given that he is travelling for leisure purposes? [ANS] A. 250/700  B. 250/800  C. 700/1550  D. 250/1550
Part ii Which of the following statements is true? [ANS] A. Reasons for travel and destination are dependent, but they would be independent if we changed the second row of counts from 550, 300, 850 to 550, 1110, 1660.  B. Reasons for travel and destination are dependent, but they would be independent if we changed the second row of counts from 550, 300, 850 to 250, 600, 850.  C. Reasons for travel and destination are independent.  D. Reasons for travel and destination are dependent, but they would be independent if we changed the second row of counts from 550, 300, 850 to 550, 1540, 2090.  E. Reasons for travel and destination are dependent, but they would be independent if we changed the second row of counts from 550, 300, 850 to 550, 990, 1540.  F. Reasons for travel and destination are dependent, but they would be independent if we changed the second row of counts from 550, 300, 850 to 550, 550, 1100.
Part iii In order to attract potential customers to its new airline, Air Canada is giving discounts to individuals that are flying to international destinations during its first month of service. The 800 individuals who were travelling outside of Canada were invited to participate in the following experiment. Half of the individuals travelling for business related reasons are randomized to receive the discounted air fare and half do not receive a discount. The individuals travelling for leisure purposes are randomized in a similar fashion. After six months, the proportion of business travellers who continue to fly with Air Canada's new airline is compared between the discounted airfare group and the regular airfare group. The same comparison is also done among the leisure travellers.
In the experiment described above, reasons for travel (leisure versus business) [CHECK ALL THAT APPLY] [ANS] A. is the blocking variable.  B. defines the experimental units.  C. is the response variable.  D. defines the treatments.  E. none of the above.
Part iv What is the purpose of performing the treatment randomization and comparison for the leisure and business travellers separately? Choose the most appropriate answer. [ANS] A. To control for the effect of reason for travel on the travellers' willingness to switch to the new airline.  B. To evaluate the effect of reasons for travel on the travellers' willingness to taking international flights.  C. To ensure that both leisure and business travellers can participate in the study.
Part v To display the data for the two variables: reasons for travel and whether travellers switch to taking the new airline after six months, what is the most appropriate display to use? [ANS] A. A contingency table.  B. A stem-and-leaf display.  C. A scatterplot.  D. Side-by-side boxplots.  E. A histogram."
363,['15.3125'],['15.313'],"Your father is planning to cook for 35 people using a recipe that specifies one and three quarter cups of sugar for each four people. For the larger group, your father will require [ANS] cups of sugar. When necessary, round to three decimal places. When necessary, round to three decimal places."
367,"['5*3', '3']","['15', '3']","Change the radical 5 \sqrt{27} into simplest radical form $A \sqrt{C}$, where $A$ and $C$ are all integers. Answer: $A=$ [ANS] and $C=$ [ANS]"
369,['60.868725888839'],['61'],"You go to the doctor and he gives you 14 milligrams of radioactive dye. After 24 minutes, 6.5 milligrams of dye remain in your system. To leave the doctor's office, you must pass through a radiation detector without sounding the alarm. If the detector will sound the alarm if more than 2 milligrams of the dye are in your system, how long will your visit to the doctor take, assuming you were given the dye as soon as you arrived? Give your answer to the nearest minute.
You will spend [ANS] minutes at the doctor's office."
373,"['14', '53', '30.909', '27', '29.5', '32.75', '26.5', '29']","['14, 53, \\frac{340}{11}, 27, 29.5, 32.75, 26.5, 29']","Consider the data set given below:
27, \ 26, \ 23, \ 31, \ 36, \ 14, \ 21, \ 41, \ 47, \ 53, \ 21 a)Find the minimum value of the data set: [ANS]
b)Find the maximum value of the data set: [ANS]
c)Find the arithmetic mean of the data set: [ANS]
d)Find the median of the data set: [ANS]
Let's include one more data point in the data set. Suppose this new data value lies between the values 14 and 53, inclusively. e)Find the smallest possible value of the mean of the new data set: [ANS]
f)Find the largest possible value of the mean of the new data set: [ANS]
g)Find the smallest possible value of the median of the new data set: [ANS]
h)Find the largest possible value of the median of the new data set: [ANS]"
374,"['0.893', 'yes']","['0.892', 'YES']","Keeping water supplies clean requires regular measurement of levels of pollutants. The measurements are indirect-a typical analysis involves forming a dye by a chemical reaction with the dissolved pollutant, then passing light through the solution and measuring its "" absorbence."" To calibrate such measurements, the laboratory measures known standard solutions and uses regression to relate absorbence and pollutant concentration. This is usually done every day. Here is one series of data on the absorbence for different levels of nitrates. Nitrates are measured in milligrams per liter of water.
$\begin{array}{ccccccccccc}\hline Nitrates & 100 & 75 & 125 & 250 & 200 & 400 & 800 & 1200 & 1500 & 3000 \\ \hline Absorbance & 5.8 & 7.3 & 12.1 & 24 & 44.3 & 95.1 & 132.7 & 183.1 & 215.8 & 230.2 \\ \hline \end{array}$
Chemical theory says that these data should lie on a straight line. If the correlation is not at least 0.997, something went wrong and the calibration procedure is repeated.
(a) Find the correlation $r$. $r$=[ANS]
(b) Must the calibration be done again? (Answer YES or NO). ANSWER: [ANS]"
379,['7.95110055275369'],['7.95'],Two perpendicular sides of a triangle are 5.1 mm and 6.1 mm long respectively. Determine the length of the remaining side of the triangle. [ANS] mm
380,"['0.0144685', '0.0415504']","['0.0151, 0.0384']","The weights of a random sample of cereal boxes that are supposed to weigh 1 pound are given below. Estimate the standard deviation of the entire population with 93.5\% confidence. Assume the population is normally distributed. $ \qquad \begin{array}{cccc} 1.04 & 1.01 & 1.02 & 1.03 \\ 0.98 & 0.98 & 1.01 & 1.01 \\ \end{array}$ LCL=[ANS]
UCL=[ANS]"
381,"['13.2', '24.6']",['24.6'],"Estimate the sum by rounding each of the given data values to the nearest tenth.
$13.182+11.385$ $\approx$ [ANS] $+$ $11.4$=[ANS]"
382,"['70', 'C', '(3, 9)', 'C']","['70', 'C', '3, 9', 'C']","The function $C$ models the number of customers that are in a store $t$ hours after the store opened on a certain day.
$\begin{array}{cccccccccccccc}\hline t & 0 & 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 \\ \hline C(t) & 0 & 26 & 52 & 70 & 84 & 94 & 101 & 97 & 85 & 70 & 50 & 27 & 0 \\ \hline \end{array}$
$C(9)=$ [ANS]
Interpret the meaning of $C(9)$: [ANS] A. There were $9$ customers in the store $70$ hours after the store opened. [ANS] B. In $9$ hours since the store opened, there were a total of $70$ customers.  C. There were $70$ customers in the store $9$ hours after the store opened.  D. In $9$ hours since the store opened, the store had an average of $70$ customers per hour.
Solve $C(t)=70$ for $t$. Use commas to separate your answers if there are more than one solution. $t=$ [ANS]
Interpret the meaning of Part c’s solution(s): [ANS] A. There were $70$ customers in the store $9$ hours after the store opened. [ANS] B. There were $70$ customers in the store either $3$ hours after the store opened, or $9$ hours after the store opened.  C. There were $70$ customers in the store $3$ hours after the store opened, and again $9$ hours after the store opened.  D. There were $70$ customers in the store $3$ hours after the store opened."
386,"['NEGATIVE', '0.680625']","['Negative', '0.680625']","The linear correlation coefficient of a set of data points is-0.825. a) Is the slope of the regression line positive or negative? answer: [ANS]
b) Determine the coefficient of determination. answer: [ANS]"
388,"['0.34', '0.288981', '28.9', '43']","['0.340', '0.289', '28.9', '43']","Baseball batting averages are somewhat similar to percentages except that they are usually rounded to three decimal places and include the decimal point. That is, if a player got 3 hits in 10 at bats then she had a hit $\frac {3}{10}=.300$ of the times she was at bat. Her batting average is listed as.300 in the newspapers. a) If Fred got 17 hits in 50 times at bat, his batting average is [ANS]. b) If Mary got 139 hits in 481 times at bat, her batting average is [ANS]. If Mary got 139 hits in 481 times at bat, then she got hits [ANS] \% of the times she was at bat. Answer should be correct to 1 decimal place. Jack's batting average is 0.301. He was at bat 143 times. That means he got [ANS] hits."
391,"['110', '0.25', 'A', 'A']","['0.25, 110, A, A']","The table below shows the cost $C$ to Company A, in dollars, of selling $x$ cups of coffee per day from a cart.
$\begin{array}{ccccccc}\hline x & 0 & 5 & 10 & 50 & 100 & 200 \\ \hline C & 60 & 61.25 & 62.5 & 72.5 & 85 & [ANS] \\ \hline \end{array}$
a) Assuming the function $C$ is linear. What is the slope of the line corresponding to the graph of $y=C(x)$? The line has slope=[ANS]
b) The value for $C(200)$ is missing in the table above. In the blank provided in the table, enter the correct value for $C(200)$ assuming the cost is a linear function of $x$. Now consider Company B, whose cost $F$, in dollars, of selling $x$ cups of coffee per day from a cart is given in the table below:
$\begin{array}{ccccccc}\hline x & 0 & 100 & 150 & 175 & 190 & 200 \\ \hline F & 55 & 75 & 85 & 90 & 93 & 95 \\ \hline \end{array}$
c) Which company pays higher fixed costs for rent and labor? [ANS] A. Company A  B. Company B
d) Which graph will be steeper, the graph corresponding to Company A's cost C(x) C(x), or the graph corresponding to Company B's cost F(x) F(x) [ANS] A. Company A  B. Company B"
392,"['696', '596']","['665', '569']","A. Determine the sample size required to estimate a population proportion to within 0.038 with 95.5\% confidence, assuming that you have no knowledge of the approximate value of the sample proportion. Sample Size=[ANS]
B. Repeat part the previous problem, but now with the knowledge that the population proportion is approximately 0.31. Sample Size=[ANS]"
398,"['90000', '1718.21', '52']","['90000', '1718', '52']","A 30-second commercial during Super Bowl XLII in 2008 cost advertisers $2.7$ million. For the first Super Bowl in 1967, an advertiser could have purchased approximately $26.19$ minutes of advertising time for the same amount of money.
(a) Assuming that advertising cost is proportional to its length of time, find the cost of advertising, in dollars/second, during the 2008 Super Bowl. cost=[ANS] dollars/second. (round to nearest cent and do not enter commas) (b) Assuming that advertising cost is proportional to its length of time, find the cost of advertising, in dollars/second, during the 1967 Super Bowl. cost=[ANS] dollars/second. (round to nearest cent and do not enter commas) (c) How many times more expensive was Super Bowl advertising in 2008 than in 1967? [ANS] times more expensive (round to nearest whole number)"
